28222,1,(D02) To ask what/how question,(D03) To ask other kind of questions,(D02) To ask what/how question
28222,2,(D03) To ask other kind of questions,(D03) To ask other kind of questions,(D01) To ask a check question
28222,3,(D10) To provide informing statement,(D10) To provide informing statement,(D06) Answer - Other
28222,4,(D04) To answer a question by confirming,(D01) To ask a check question,(D01) To ask a check question
28222,5,(D05) To answer a question by disconfirming,(D10) To provide informing statement,(D06) Answer - Other
28222,6,(D10) To provide informing statement,(D08) Disagreement,(D08) Disagreement
28222,7,(D10) To provide informing statement,(D08) Disagreement,(D08) Disagreement
28222,8,(D02) To ask what/how question,(D02) To ask what/how question,(D02) To ask what/how question
28222,9,(D10) To provide informing statement,(D10) To provide informing statement,(D06) Answer - Other
28222,10,(D07) Agreement,(D10) To provide informing statement,(D09) Other
28222,11,(D07) Agreement,(D08) Disagreement,(D08) Disagreement
28222,12,(D07) Agreement,(D10) To provide informing statement,(D09) Other
28222,13,(D07) Agreement,(D10) To provide informing statement,(D09) Other
28222,14,(D08) Disagreement,(D10) To provide informing statement,(D08) Disagreement
28222,15,(D02) To ask what/how question,(D02) To ask what/how question,(D02) To ask what/how question
28222,16,(D04) To answer a question by confirming,(D06) Answer - Other,(D06) Answer - Other
28222,17,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28222,18,(D10) To provide informing statement,(D10) To provide informing statement,(D06) Answer - Other
28222,19,(D02) To ask what/how question,(D02) To ask what/how question,(D02) To ask what/how question
28222,20,(D10) To provide informing statement,(D10) To provide informing statement,(D06) Answer - Other
28222,21,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28222,22,(D07) Agreement,(D03) To ask other kind of questions,(D03) To ask other kind of questions
28222,23,(D10) To provide informing statement,(D10) To provide informing statement,(D09) Other
28222,24,(D08) Disagreement,(D07) Agreement,(D07) Agreement
28222,25,(D04) To answer a question by confirming,(D09) Other,(D09) Other
28222,26,(D02) To ask what/how question,(D02) To ask what/how question,(D02) To ask what/how question
28222,27,(D10) To provide informing statement,(D10) To provide informing statement,(D06) Answer - Other
28222,28,(D02) To ask what/how question,(D03) To ask other kind of questions,(D03) To ask other kind of questions
28222,29,(D10) To provide informing statement,(D03) To ask other kind of questions,(D03) To ask other kind of questions
28222,30,(D02) To ask what/how question,(D02) To ask what/how question,(D02) To ask what/how question
28222,31,(D03) To ask other kind of questions,(D01) To ask a check question,(D06) Answer - Other
28222,32,(D08) Disagreement,(D01) To ask a check question,(D01) To ask a check question
28222,33,(D10) To provide informing statement,(D10) To provide informing statement,(D06) Answer - Other
28222,34,(D08) Disagreement,(D10) To provide informing statement,(D09) Other
28222,35,(D10) To provide informing statement,(D06) Answer - Other,(D06) Answer - Other
28222,36,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28222,37,(D10) To provide informing statement,(D08) Disagreement,(D08) Disagreement
28222,38,(D08) Disagreement,(D02) To ask what/how question,(D02) To ask what/how question
28222,39,(D09) Other,(D10) To provide informing statement,(D09) Other
28222,40,(D07) Agreement,(D10) To provide informing statement,(D06) Answer - Other
28223,1,(D02) To ask what/how question,(D02) To ask what/how question,(D02) To ask what/how question
28223,2,(D10) To provide informing statement,(D06) Answer - Other,(D02) To ask what/how question
28223,3,(D03) To ask other kind of questions,(D03) To ask other kind of questions,(D03) To ask other kind of questions
28223,4,(D10) To provide informing statement,(D06) Answer - Other,(D06) Answer - Other
28223,5,(D02) To ask what/how question,(D02) To ask what/how question,(D02) To ask what/how question
28223,6,(D10) To provide informing statement,(D06) Answer - Other,(D06) Answer - Other
28223,7,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28223,8,(D05) To answer a question by disconfirming,(D05) To answer a question by disconfirming,(D05) To answer a question by disconfirming
28223,9,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28223,10,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28223,11,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28223,12,(D03) To ask other kind of questions,(D03) To ask other kind of questions,(D10) To provide informing statement
28223,13,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28223,14,(D10) To provide informing statement,(D06) Answer - Other,(D10) To provide informing statement
28223,15,(D10) To provide informing statement,(D06) Answer - Other,(D06) Answer - Other
28223,16,(D05) To answer a question by disconfirming,(D05) To answer a question by disconfirming,(D05) To answer a question by disconfirming
28223,17,(D03) To ask other kind of questions,(D03) To ask other kind of questions,(D01) To ask a check question
28223,18,(D10) To provide informing statement,(D06) Answer - Other,(D06) Answer - Other
28223,19,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
28223,20,(D05) To answer a question by disconfirming,(D05) To answer a question by disconfirming,(D05) To answer a question by disconfirming
28223,21,(D08) Disagreement,(D08) Disagreement,(D08) Disagreement
